OBJECTID1,Area_suburb,Data_Category,F2005_06,F2006_07,F2007_08,F2008_09,F2009_10,F2010_11,F2011_12,F2012_13,F2013_14,F2014_15,F2015_16,F2016_17,F2017_18,F2018_19,Shape__Area,Shape__Length
87,Rosebery,Other Scope 3 (Disaggregated),127.3376829,129.517587,130.4762914,129.0627007,127.9111607,126.6919521,177.6204341,183.0528381,187.417341,191.8998423,196.3454036,202.2203952,,,2114294.1015625,6662.37430072076
88,Rosebery,Transport (Disaggregated),16268.94381,16859.1224,16955.35876,16714.54874,17300.17845,17889.26932,17467.92413,17905.31359,17929.61676,18229.33522,17414.19197,20128.50433,26928.83838,28949.98347,2114294.1015625,6662.37430072076
89,Rosebery,Waste (Disaggregated),12867.23908,13018.92308,12540.15494,10995.02869,6956.48456,6425.740949,6021.720964,5911.807874,5915.837068,5954.498609,6005.045978,6681.804658,7894.352798,9151.263898,2114294.1015625,6662.37430072076
90,Rosebery,Waste Water (Disaggregated),94.9948095,97.15559163,100.9196846,104.8600077,108.4993269,111.5195126,117.0603192,120.716527,125.2709686,130.5643831,135.1526323,138.5004931,,,2114294.1015625,6662.37430072076
91,Eveleigh,Electricity (Disaggregated),18833.91838,19004.50271,30886.51378,34196.18492,39224.67693,35513.84106,32607.46322,31976.17908,29740.28648,27112.42092,23273.49015,21915.43028,20989.11156,23092.76481,800970.265625,5051.49621233395
92,Eveleigh,Gas (Disaggregated),703.2014087,721.4920782,722.3235069,780.4807272,852.8065254,875.2616681,923.418112,937.4033315,923.6123191,955.8592409,968.4822794,941.1357133,1070.791382,1097.556734,800970.265625,5051.49621233395
93,Eveleigh,Other Scope 3 (Disaggregated),11.33906389,11.55599633,11.51048588,11.07169235,10.73576956,10.40806339,14.28852019,14.89190599,15.41647827,15.95777268,16.50289132,17.17608401,,,800970.265625,5051.49621233395
94,Eveleigh,Transport (Disaggregated),2159.520053,2230.108342,2910.678297,3471.685855,4164.520046,4856.933164,4799.908592,4846.045634,4843.500287,4905.129944,4715.209143,4921.025809,5456.166154,5567.606752,800970.265625,5051.49621233395
95,Eveleigh,Waste (Disaggregated),5448.091676,5498.544488,5739.797423,5347.179249,3602.246117,3711.532487,3841.44547,3851.315042,3880.149812,3912.176234,3954.840147,4355.118506,3165.592248,3561.058244,800970.265625,5051.49621233395
96,Eveleigh,Waste Water (Disaggregated),9.776445149,10.04735556,10.16389172,10.2913005,10.38308145,10.41211734,10.66904101,11.06829372,11.55354516,12.11134833,12.60801734,12.9920983,,,800970.265625,5051.49621233395
97,Surry Hills,Electricity (Disaggregated),213014.0516,215237.6378,216732.1387,216537.6138,214724.0273,211791.6431,205259.0986,200163.5833,193463.4595,178029.4736,173105.893,167375.8923,162136.3379,153547.0197,1929654.578125,6421.58826513941
98,Surry Hills,Gas (Disaggregated),12240.58332,12325.08108,11815.50225,12055.03775,12315.47025,11870.98205,12138.36408,12438.96843,12493.09264,13256.44003,13892.86144,13734.30311,13303.00089,12674.23006,1929654.578125,6421.58826513941
99,Surry Hills,Other Scope 3 (Disaggregated),170.9477438,173.4453565,172.6971435,165.9558183,160.7980051,155.7706016,213.6830143,220.9506414,226.9623137,233.1451993,239.3108952,247.2508984,,,1929654.578125,6421.58826513941
100,Surry Hills,Transport (Disaggregated),31383.29927,32259.53331,32628.62622,32199.72499,33029.09675,33853.20624,33267.48279,33614.59472,33742.09325,34247.01635,33262.22365,36589.76994,36326.92779,38018.48784,1929654.578125,6421.58826513941
101,Surry Hills,Waste (Disaggregated),33724.06295,34214.11606,34972.11002,32847.25663,22154.78349,21598.18115,21547.42358,21149.51982,21174.71471,21330.49305,21527.56738,23997.63968,23816.21316,27234.89472,1929654.578125,6421.58826513941
102,Surry Hills,Waste Water (Disaggregated),426.04588,437.4571877,442.9431582,448.9136251,453.339671,455.0318882,466.6957613,483.5406359,504.1072755,527.7973275,548.7822898,564.8365412,,,1929654.578125,6421.58826513941
103,Dawes Point,Electricity (Disaggregated),10992.41928,11107.72299,14392.02103,10652.14665,9993.902304,11129.31103,11049.07521,9177.802851,5701.922044,11023.18214,4685.498381,10351.96675,9664.68137,8174.819418,201392.84765625,3690.51084046912
104,Dawes Point,Gas (Disaggregated),881.5736616,897.0272757,878.3629681,923.0568558,981.0702392,981.5040036,1019.429671,1027.77565,1011.707243,1056.412802,1062.708658,1025.987802,1010.689632,980.6709926,201392.84765625,3690.51084046912
105,Dawes Point,Other Scope 3 (Disaggregated),18.72859345,19.00996538,18.8130671,17.80008381,17.03034632,16.28739888,22.05297096,22.94574565,23.7151843,24.50870303,25.30649341,26.29886225,,,201392.84765625,3690.51084046912
106,Dawes Point,Transport (Disaggregated),1529.573243,1575.922772,1609.694646,1597.773744,1649.798418,1700.916099,1638.135225,1677.647635,1698.682294,1738.342363,1703.303887,2011.926562,1871.670387,1964.567718,201392.84765625,3690.51084046912
107,Dawes Point,Waste (Disaggregated),1971.782846,1995.270185,2095.095841,1987.790299,1356.850043,1380.460896,1422.702402,1414.301296,1421.268406,1432.385473,1446.945154,1600.977912,1378.569822,1560.383977,201392.84765625,3690.51084046912
108,Dawes Point,Waste Water (Disaggregated),14.46258573,14.86073984,14.83890337,14.82791292,14.76102251,14.60224113,14.75717823,15.30281876,15.96698409,16.73096663,17.41006074,17.93336406,,,201392.84765625,3690.51084046912
109,Darlinghurst,Electricity (Disaggregated),151995.2882,153567.0695,154847.4053,156934.1545,160227.1463,158594.3111,154594.7709,150550.2656,144901.1518,134954.9805,130419.303,127182.6287,123603.2391,118538.6463,1258153.61328125,5875.26428478532
110,Darlinghurst,Gas (Disaggregated),10436.35593,10558.28734,10226.90483,10588.85674,11028.72877,10832.86353,11176.62993,11405.1259,11375.70293,11964.62692,12437.52089,12433.56199,12410.5549,12070.8904,1258153.61328125,5875.26428478532
111,Darlinghurst,Other Scope 3 (Disaggregated),100.2573126,101.8891591,101.5257822,97.74733933,94.8529255,92.02683646,126.432648,131.1120674,135.0650603,139.1363942,143.2136259,148.3711494,,,1258153.61328125,5875.26428478532
112,Darlinghurst,Transport (Disaggregated),14921.17682,15393.94611,15889.70287,15941.68487,16685.07185,17425.67108,17038.41309,17203.21939,17276.48487,17573.10625,16980.54044,18982.70976,19005.838,19383.50345,1258153.61328125,5875.26428478532
113,Darlinghurst,Waste (Disaggregated),23220.75268,23549.36368,24035.58086,22509.78839,15147.57157,14775.86573,14736.86306,14477.98541,14497.63486,14602.76731,14736.41774,16416.11338,16303.07783,18540.7251,1258153.61328125,5875.26428478532
114,Darlinghurst,Waste Water (Disaggregated),279.9376638,287.5412964,291.6298764,296.0499277,299.4627913,301.0764351,309.3024787,320.7998283,334.7853464,350.867932,365.1743523,376.2160578,,,1258153.61328125,5875.26428478532
115,Haymarket,Electricity (Disaggregated),231762.462,233952.4645,234763.8237,232300.2424,235337.5015,231619.7165,225608.5197,221440.0421,215666.9559,198726.6355,191741.4517,184165.9839,179272.4531,173762.905,759982.67578125,3817.57104534498
116,Haymarket,Gas (Disaggregated),8449.331529,8546.721376,8199.491662,8408.475735,8753.530884,8587.188635,8805.791584,8886.985225,8807.1481,9236.150835,9374.184015,9116.430575,8948.390523,8415.60316,759982.67578125,3817.57104534498
117,Haymarket,Other Scope 3 (Disaggregated),24.10438917,24.86364003,25.20230001,25.29982793,25.3538774,25.3781188,35.93780194,37.69147746,39.25731898,40.87582227,42.51394443,44.49315227,,,759982.67578125,3817.57104534498
118,Haymarket,Transport (Disaggregated),18219.51444,18610.21228,19123.31642,19310.38662,19994.29625,20679.1509,20698.90362,20881.74045,20962.78871,21197.33335,20862.06232,21349.13619,22000.33379,22902.86186,759982.67578125,3817.57104534498
119,Haymarket,Waste (Disaggregated),30758.89608,31062.3328,31655.07503,28874.51391,19071.89796,19210.61354,19475.09594,19521.07048,19688.16037,19881.52642,20128.87419,22229.02802,22350.36358,25138.79726,759982.67578125,3817.57104534498
120,Haymarket,Waste Water (Disaggregated),70.42334205,72.6680832,76.13455204,79.75038548,83.151823,86.08711398,90.9859806,95.15786618,100.1127707,105.7485713,110.9012752,115.1009792,,,759982.67578125,3817.57104534498
121,Redfern,Electricity (Disaggregated),87010.10443,87993.7188,81711.29385,82202.63238,81773.38179,80142.78772,76343.97208,73360.21876,68771.857,63468.07713,62311.32602,62612.97872,62002.46286,60618.67253,1683007.40234375,6569.80594960357
122,Redfern,Gas (Disaggregated),6654.440143,6724.925062,6560.434985,6828.429872,7067.816604,6903.096044,7158.050664,7413.127664,7483.847003,7982.68053,8459.82265,8416.700482,8195.410742,7921.954612,1683007.40234375,6569.80594960357
123,Redfern,Other Scope 3 (Disaggregated),191.2311987,193.7435132,192.5597617,184.1992755,177.8186877,171.6216208,234.5495326,242.5716628,249.2171642,256.05261,262.8710848,271.6407289,,,1683007.40234375,6569.80594960357
124,Redfern,Transport (Disaggregated),17242.49677,17814.60894,17894.25851,17509.80492,17960.49633,18401.78485,17509.63173,18098.78739,18239.09324,18634.57664,17987.73572,21788.57704,21405.52767,22893.88096,1683007.40234375,6569.80594960357
125,Redfern,Waste (Disaggregated),11838.51293,12094.1259,12841.43095,12921.21964,9175.998349,8846.934099,8895.069234,8532.488728,8477.959952,8524.43397,8580.028678,9680.749814,9081.738443,10786.176,1683007.40234375,6569.80594960357
126,Redfern,Waste Water (Disaggregated),332.4345974,340.9091106,344.6070327,348.6669589,351.5137985,352.2328883,360.6534705,373.1699448,388.5301231,406.2634119,421.8812745,433.6841056,,,1683007.40234375,6569.80594960357
127,Paddington,Electricity (Disaggregated),19700.55369,19884.71219,21589.49764,22976.43696,22821.04112,23310.49579,21558.8159,24687.85587,26212.28738,25116.76774,24049.63937,23982.8743,23740.64389,23758.89832,670564.52734375,4341.78050691311
128,Paddington,Gas (Disaggregated),2017.848956,2020.820416,1901.12528,1901.764197,1922.77269,1833.799509,1842.544045,1849.748153,1826.867902,1898.861616,1723.233774,1443.895,1371.945182,1300.233784,670564.52734375,4341.78050691311
129,Paddington,Other Scope 3 (Disaggregated),67.19606506,67.23312872,66.20386316,61.82697911,58.51230843,55.32859537,74.03432097,75.27700391,76.0284161,76.78189732,77.47542899,78.68130807,,,670564.52734375,4341.78050691311
130,Paddington,Transport (Disaggregated),13284.34359,13668.70926,13692.01576,13202.66358,13441.22618,13674.80271,13372.99906,13436.97682,13349.85046,13468.88051,12763.86022,13663.40538,13896.51504,13231.12605,670564.52734375,4341.78050691311
131,Paddington,Waste (Disaggregated),4383.829372,4450.176983,4478.400198,4187.628412,2800.49441,2648.667477,2581.046949,2505.084342,2494.966024,2505.36027,2520.083267,2811.412794,2790.890754,3180.52319,670564.52734375,4341.78050691311
132,Paddington,Waste Water (Disaggregated),67.94969547,69.16319175,68.63939167,68.15468902,67.40285803,66.22534391,66.45715735,67.71073781,69.42024304,71.48172893,73.10092366,74.00733261,,,670564.52734375,4341.78050691311
133,Centennial Park,Electricity (Disaggregated),9880.77204,10044.48471,10803.00342,10242.2662,9412.998271,9530.322956,9198.369312,9163.516678,7524.0556,7097.740462,6885.104362,6756.892637,6501.573378,6358.545638,377707.36328125,4744.91507437565
134,Centennial Park,Gas (Disaggregated),988.5490173,994.3379967,965.1256933,993.6438686,1004.757884,959.4053726,989.7854971,1041.983681,1069.595739,1160.697833,1282.582891,1293.205564,1206.031898,1152.621777,377707.36328125,4744.91507437565
135,Centennial Park,Other Scope 3 (Disaggregated),83.66942227,84.98954961,84.67317775,81.48978719,79.05184478,76.67233749,105.3043395,109.1251725,112.3383948,115.6475715,118.9592768,123.1655423,,,377707.36328125,4744.91507437565
136,Centennial Park,Transport (Disaggregated),5761.374873,5970.997558,5933.887736,5753.195702,5838.198167,5920.822392,5609.81394,5732.2222,5822.183437,5993.168124,5828.525104,7571.288402,6853.595181,7343.675738,377707.36328125,4744.91507437565
137,Centennial Park,Waste (Disaggregated),636.7694447,673.7639288,713.5977147,829.9152282,637.4188249,516.6195262,464.9540995,388.9819115,369.1803437,368.9876713,366.8351644,454.3121435,392.0138252,594.0241895,377707.36328125,4744.91507437565
138,Centennial Park,Waste Water (Disaggregated),65.63171835,67.48084383,68.27977538,69.15216828,69.78554278,69.9974275,71.74182252,74.53508095,77.91386448,81.78954786,85.25981317,87.97426045,,,377707.36328125,4744.91507437565
139,Sydney,Electricity (Disaggregated),2154939.045,2174498.117,2178067.31,2088923.371,2042327.741,1989107.171,1885580.75,1801530.89,1715876.421,1562628.102,1494814.898,1446841.611,1365405.633,1283799.127,4251639.76953125,15013.9253507223
140,Sydney,Gas (Disaggregated),58746.53191,59195.76103,56074.05907,56642.30645,58252.15555,56482.96156,57253.1999,57365.90163,56592.00494,58853.86463,59054.30602,57747.74816,58326.40957,55187.25769,4251639.76953125,15013.9253507223
141,Sydney,Other Scope 3 (Disaggregated),200.0429944,205.0629122,205.3476955,200.167511,196.1501901,192.1598569,266.5502688,279.554317,291.1650759,303.1662974,315.3129102,329.989119,,,4251639.76953125,15013.9253507223
142,Sydney,Transport (Disaggregated),219714.4008,224178.761,226164.7666,224126.6847,227954.7663,231781.675,231898.4524,233682.7787,234401.1525,236788.462,233013.4272,236389.1172,240272.5899,243936.3601,4251639.76953125,15013.9253507223
143,Sydney,Waste (Disaggregated),218412.244,220499.3775,222783.7988,201141.8256,131554.8232,131764.5633,132697.1164,133121.8409,134222.755,135445.9546,137040.4141,151076.3015,144539.5922,156742.3425,4251639.76953125,15013.9253507223
144,Sydney,Waste Water (Disaggregated),362.082152,373.621431,382.0071259,390.9063694,398.5476078,403.8365474,418.0868128,437.2529017,460.0167612,485.909064,509.5813088,528.8744213,,,4251639.76953125,15013.9253507223
145,Darlington,Electricity (Disaggregated),13658.49345,13786.39478,35835.41198,38029.33686,37946.09897,37853.44482,37101.08587,37402.42882,36099.16331,33768.86009,35111.73391,35162.6221,34748.05876,33694.21623,557113.67578125,3462.22451294635
146,Darlington,Gas (Disaggregated),2114.13681,2124.101514,1999.705436,2002.880179,2038.147798,1955.814464,1967.479758,1964.453699,1931.427911,2000.965622,2017.120083,1973.759875,1988.726698,1964.82268,557113.67578125,3462.22451294635
147,Darlington,Other Scope 3 (Disaggregated),30.92064644,31.13582889,30.99281681,29.76190483,28.82053064,27.90351282,38.25554892,38.9364759,39.36524733,39.79681921,40.19904534,40.8691185,,,557113.67578125,3462.22451294635
148,Darlington,Transport (Disaggregated),5137.658942,5292.00269,5306.408722,5170.517789,5293.307265,5414.848654,5282.335661,5360.159985,5334.046078,5384.734347,5126.945049,5633.972697,5775.323026,5950.530149,557113.67578125,3462.22451294635
149,Darlington,Waste (Disaggregated),4057.20108,4117.421577,4293.528661,4098.226586,2805.853695,2793.319948,2839.777987,2792.408173,2795.006406,2812.411265,2835.90519,3148.507225,2477.121417,2840.746791,557113.67578125,3462.22451294635
150,Darlington,Waste Water (Disaggregated),43.97506139,44.76914708,45.22647909,45.73058785,46.07492394,46.13997096,47.21299924,48.05196495,49.21148224,50.61686073,51.70543632,52.28713537,,,557113.67578125,3462.22451294635
151,Potts Point,Electricity (Disaggregated),66646.69703,67463.24814,68364.67864,71274.19387,70647.92645,68229.81506,67607.74486,66172.70297,63133.05264,58139.33115,54919.83789,53217.34799,51628.62052,48926.3821,870985.6015625,6898.1675944782
152,Potts Point,Gas (Disaggregated),9032.395617,9100.925702,8697.489591,8843.863246,9042.330381,8718.600238,8888.000103,9035.876675,9025.995863,9564.319409,8885.47398,7519.223516,6970.25627,6490.196992,870985.6015625,6898.1675944782
153,Potts Point,Other Scope 3 (Disaggregated),67.51159784,68.92685424,68.68567584,66.14067729,64.19089873,62.28683622,85.58547911,89.49526413,92.94599496,96.51017388,100.1097905,104.500298,,,870985.6015625,6898.1675944782
154,Potts Point,Transport (Disaggregated),10801.03133,11172.16353,11284.49226,11081.30765,11391.10743,11699.03983,11467.13949,11647.41963,11728.81857,11970.90363,11573.95583,13014.36528,12501.00091,12741.38494,870985.6015625,6898.1675944782
155,Potts Point,Waste (Disaggregated),19493.70198,19767.02424,20269.21419,18989.39197,12794.68992,12602.38268,12659.02588,12494.90362,12539.48966,12647.51572,12781.82052,14232.40459,14395.01502,16965.98934,870985.6015625,6898.1675944782
156,Potts Point,Waste Water (Disaggregated),215.4251342,222.0699237,224.8926656,227.9623767,230.2487055,231.1470606,237.1119582,247.5163891,259.9311518,274.0824591,286.9514938,297.3326361,,,870985.6015625,6898.1675944782
157,Ultimo,Electricity (Disaggregated),160755.9966,162253.607,167130.9715,167739.6395,173278.61,171141.1793,165973.0374,165277.7751,162977.9043,155235.1067,147307.3147,140403.9406,135674.7476,124769.1192,814079.05859375,4006.05590255761
158,Ultimo,Gas (Disaggregated),5941.65242,5993.735068,5745.27739,5875.27598,6057.836934,5889.419084,6034.367696,6145.200187,6134.196019,6473.39378,6695.25634,6572.978654,6414.850564,6157.298879,814079.05859375,4006.05590255761
159,Ultimo,Other Scope 3 (Disaggregated),49.26907822,50.59414747,51.22673743,51.29030221,51.29968764,51.25456725,72.45582466,75.44872014,78.03902007,80.71111817,83.39978109,86.73253294,,,814079.05859375,4006.05590255761
160,Ultimo,Transport (Disaggregated),15513.06916,16005.21731,16757.35302,17063.24683,18101.34995,19141.17394,19113.4815,19324.33383,19318.90441,19567.31048,18821.29802,19674.5161,20038.30025,20338.0828,814079.05859375,4006.05590255761
161,Ultimo,Waste (Disaggregated),11147.92156,11299.98268,11790.97006,11241.4198,7706.75206,7700.229124,7843.088702,7724.076175,7742.243455,7802.220514,7877.869783,8771.022186,8775.418388,9932.644569,814079.05859375,4006.05590255761
162,Ultimo,Waste Water (Disaggregated),120.0488318,123.5591074,129.3672252,135.4269926,141.1207992,146.0224113,154.2523967,160.5761918,168.1790262,176.8755091,184.7156253,190.9330984,,,814079.05859375,4006.05590255761
163,Forest Lodge + Annandale,Electricity (Disaggregated),17546.8819,17723.40427,17316.47541,16470.1991,16695.392,16872.73013,16732.77516,19867.99667,21398.60973,20553.67073,20585.55877,26103.99038,27293.10138,27198.80693,793947.84765625,6817.41667034782
164,Forest Lodge + Annandale,Gas (Disaggregated),3027.460656,2946.427178,2516.004402,2177.763279,1856.910194,1435.021296,1191.216787,1128.766453,1128.99914,1187.580254,1254.029593,1316.751362,2039.295779,2604.256756,793947.84765625,6817.41667034782
165,Forest Lodge + Annandale,Other Scope 3 (Disaggregated),35.28398413,35.5753364,35.3855842,33.9162975,32.79381454,31.70202676,43.3966958,44.35216019,45.02972748,45.718783,46.38239664,47.36465692,,,793947.84765625,6817.41667034782
166,Forest Lodge + Annandale,Transport (Disaggregated),5018.414647,5172.425528,5200.617484,5090.868231,5234.407087,5375.349758,5075.470362,5161.711299,5154.991123,5224.369922,4980.423602,5993.220511,9078.766529,10174.39201,793947.84765625,6817.41667034782
167,Forest Lodge + Annandale,Waste (Disaggregated),10861.07064,10979.00022,9328.137168,6981.080044,3623.707026,2511.789269,1471.177223,1396.497484,1380.571942,1383.823982,1388.32175,1567.333869,3676.370546,4788.847051,793947.84765625,6817.41667034782
168,Forest Lodge + Annandale,Waste Water (Disaggregated),59.60847955,60.84491597,61.44706606,62.11226655,62.56000288,62.62825389,64.06410141,65.60117114,67.59907852,69.96300718,71.91704391,73.18710669,,,793947.84765625,6817.41667034782
169,The Rocks,Electricity (Disaggregated),121442.6603,122577.2621,120723.7448,116301.2418,119699.3076,115412.9871,107888.9462,106142.8194,102792.084,91074.14229,86775.77975,83542.045,81112.19145,76694.13591,309162.66796875,3549.527778976
170,The Rocks,Gas (Disaggregated),5557.482976,5612.514499,5338.750196,5424.492633,5625.262771,5495.896049,5591.664983,5576.656414,5472.615537,5689.562608,5673.554913,5342.778192,5004.379575,4588.940152,309162.66796875,3549.527778976
171,The Rocks,Other Scope 3 (Disaggregated),13.80149561,14.3283158,14.75103313,15.35015745,15.78619919,16.18031199,23.41780729,24.50694689,25.47133041,26.46762234,27.4744281,28.69918807,,,309162.66796875,3549.527778976
172,The Rocks,Transport (Disaggregated),9565.122626,9777.305671,9724.120633,9535.671769,9596.136562,9657.959429,9682.341263,9775.83008,9818.188911,9934.545258,9774.15264,10094.81515,10343.16923,10622.2839,309162.66796875,3549.527778976
173,The Rocks,Waste (Disaggregated),17797.42093,17964.13099,18139.81643,16347.78145,10678.90939,10709.5629,10789.46393,10834.8464,10930.07402,11033.47728,11167.6882,12309.99608,9301.231959,9839.390406,309162.66796875,3549.527778976
174,The Rocks,Waste Water (Disaggregated),17.89077454,18.41236321,19.80728619,21.25398127,22.65487641,23.93523146,25.77520656,26.86319597,28.16693375,29.65595368,31.00343712,32.08007195,,,309162.66796875,3549.527778976
